Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
Phibbs,Exchange,North Vancouver District,North Shore,1973,028; 130; 209; 210; 211; 212; 214; 215; 222; 227; 232; 245; R2,50447; 50448; 51747; 51761; 54026; 54077; 54100; 54119; 54333; 54424; 60437; 61011,None,7700,7200,4300,4000,3600,3200,0,0,0,0,0,0,0,0,0,0,0,0,2500,5800,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.028744,49.305502,63,811db26a-62ea-43f4-8941-07e50263463c,-13695497.1826,6326858.5869
Pitt Meadows,Station,Pitt Meadows,Maple Ridge/Pitt Meadows,1995,701; 719/722; 791,57577; 57663; 59796,West Coast Express,110,120,60,50,50,60,130,120,0,0,0,0,0,0,0,0,0,0,8000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.687865,49.225662,64,b528e766-d787-489c-b518-a386fae5ad3a,-13657574.3476,6313206.5914
Port Coquitlam,Station,Port Coquitlam,Northeast Sector,1995,159; 160; 170; 173/174; 175; 188,53348; 53440; 53740; 53767; 53777; 53783,West Coast Express,400,400,230,240,190,230,340,310,0,0,0,0,0,0,0,0,0,0,6000,9000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.773982,49.261497,65,97327aa9-a525-40fa-abbb-94438f4289c9,-13667177.1709,6319254.4734
Port Haney,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,733; 741; 743; 745/746; 748,57695; 57703; 59709,West Coast Express,70,60,0,0,0,0,200,170,0,0,0,0,0,0,0,0,0,0,5000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.606021,49.212335,66,8ead1dba-f943-427e-87bc-435cb80b47ef,-13648409.9863,6310977.8418
Production Way-University,Station,Burnaby,Burnaby/New Westminster,2002,110; 136; 145; N9,58349; 59314; 59315; 59316,Expo/Millennium Line,3900,2200,1100,590,910,530,4280,4240,1840,1750,1310,1280,0,0,0,0,0,0,3000,11000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.91813,49.253407,67,10612253-851f-4ccb-a9f8-064e288e13c5,-13683179.9774,6318022.6364
Renfrew,Station,Vancouver,Vancouver/UBC,2002,016,51082; 58401,Expo/Millennium Line,970,900,730,690,630,590,2620,2430,1830,1630,1450,1290,0,0,0,0,0,0,9000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.045286,49.25893,68,ee92b060-3ad8-4c54-a1ac-137d8f9182a5,-13697235.7489,6318952.026
Richmond-Brighouse,Station,Richmond,Southeast,2009,301; 401; 402; 403; 404; 405; 406; 407; 408; 410; 414; 416; 430; N10,56451; 56549; 56689; 58279; 58624; 60482; 60483; 61332; 61334,Canada Line,11500,10900,8500,7700,7000,6300,8540,8090,7190,6820,5680,5540,0,0,0,0,0,0,25000,17000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.136345,49.168295,69,23f86ef2-ec3c-4101-98df-046da5e47634,-13707498.7769,6303285.0934
Royal Oak,Station,Burnaby,Burnaby/New Westminster,1985,148,59781,Expo/Millennium Line,250,260,150,160,140,120,4420,4360,3390,3360,2540,2570,0,0,0,0,0,0,14000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.988428,49.220063,70,d3676a63-16cd-4856-875e-bf8e72d1b5bd,-13691006.5482,6312283.1054
Rupert,Station,Vancouver,Vancouver/UBC,2002,027,58129; 58130,Expo/Millennium Line,470,400,340,330,210,120,2180,2050,1900,1740,1570,1480,0,0,0,0,0,0,7000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.032865,49.26076,71,0fdc8d60-a033-4c6a-b437-da99a9d2f236,-13695981.4314,6319219.9393
SFU,Exchange,Burnaby,Burnaby/New Westminster,1993,143; 144; 145; N35; R5,51861; 52807; 52998; 53096,None,4700,4300,1200,1300,940,1100,0,0,0,0,0,0,0,0,0,0,0,0,6300,3100,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.912628,49.278712,72,d9a18b69-2055-4e73-a582-c3d6d9d976df,-13682571.1737,6322286.0397
Sapperton,Station,New Westminster,Burnaby/New Westminster,2002,109,53111; 53218,Expo/Millennium Line,20,30,10,20,10,20,2330,2190,1420,1270,1010,890,0,0,0,0,0,0,6000,6000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.889394,49.224651,73,229c91e0-d5ba-49b4-a55d-4e585c347f0d,-13680045.4396,6313144.369
Scott Road,Station,Surrey,Southeast,1990,312; 319; 321; 371; 391; 640; N19,53104; 55096; 55835; 57566; 58150,Expo/Millennium Line,8700,7900,6000,5600,4900,4400,8580,8850,6580,6580,5040,5060,0,0,0,0,0,0,2000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.874168,49.204428,74,ed5bddbc-a401-46d1-89c6-5bcc98fff128,-13678223.2577,6309495.9273
Scottsdale,Exchange,Surrey,Southeast,1998,301; 310; 311; 312; 316; 319; 322; 329; 340; 364; 391,54793; 54887; 55041; 55178; 55192; 55499; 55941; 56022; 56394,None,5800,6000,4000,4200,3300,3400,0,0,0,0,0,0,0,0,0,0,0,0,9300,2600,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.88816,49.137548,75,a49b8d15-7870-47c5-b6e8-e7691e0f1ff0,-13679847.3883,6298232.6827
Sea Island Centre,Station,Richmond,Southeast,2009,N10,52112; 52228,Canada Line,0,0,0,0,0,0,790,840,480,500,460,500,0,0,0,0,0,0,0,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.159011,49.192682,76,1a4023cb-12ae-4a39-97a7-882e71d48db3,-13709877.5057,6307633.2131
Snug Cove,Exchange,Bowen Island,North Shore,,280; 281; 282,58013,None,80,60,30,40,50,40,0,0,0,0,0,0,0,0,0,0,0,0,2700,400,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.333561,49.379762,77,0f7ab0f4-cfab-4494-86f8-2e754a4b0d76,-13729429.1893,6339546.5369
South Delta,Exchange,Delta,Southwest,1975,601; 602; 603; 604; 609; 614; 619,57377; 58597; 59852,None,310,300,150,130,130,150,0,0,0,0,0,0,0,0,0,0,0,0,3600,1500,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.067915,49.036056,78,12124744-95bd-4c1b-8986-e734082f763a,-13699857.6622,6280981.5289
South Surrey,Exchange,Surrey,Southeast,1991,321; 351; 352; 354; 394,59810; 59931; 59932; 59933,None,1300,1200,840,790,800,730,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.821967,49.072485,79,bc9d9f39-c972-4608-9bc2-5bfe699f7a7c,-13672478.8088,6287169.5201
Sperling-Burnaby Lake,Station,Burnaby,Burnaby/New Westminster,2002,110; 134; 144,58440; 58441; 58442,Expo/Millennium Line,1300,1200,800,720,600,550,1470,1330,1080,970,800,720,0,0,0,0,0,0,3000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.963858,49.259163,80,e7bd4b76-09b0-4e8d-8ebd-e60fd80b6f5e,-13688296.8414,6318914.7467
Stadium-Chinatown,Station,Vancouver,Vancouver/UBC,1985,005/006; 023; 257; N15; N24,50081; 59558; 59991; 59992; 60302,Expo/Millennium Line,1800,1600,1600,1600,1400,1100,10580,11020,10660,11700,7190,7410,0,0,0,0,0,0,33000,75000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.109171,49.279293,81,dadc5504-55f2-4133-afa4-4b0993295158,-13704512.3906,6322440.0125
Stanley Park,Loop,Vancouver,Vancouver/UBC,2003,019,58727; 58728,None,380,400,630,640,560,560,0,0,0,0,0,0,0,0,0,0,0,0,200,100,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.133859,49.300537,82,d4f306d6-c277-4f17-82b6-0008b0a3f325,-13707198.4371,6326010.8674
Steveston,Exchange,Richmond,Southeast,,401; 402; 406; 407; 413,56421; 56517; 58194,None,590,490,690,560,520,420,0,0,0,0,0,0,0,0,0,0,0,0,6400,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.184108,49.126421,83,c4e0412a-5050-4cf1-a81c-5cb4dd0146c2,-13712792.1994,6296339.6172
Surrey Central,Station,Surrey,Southeast,1994,314; 316; 320; 321; 323; 324; 325; 326; 329; 335; 337; 371; 373; 393; 501; 502; 503; 509; N19; R1,54993; 55070; 55210; 55441; 55612; 55713; 55714; 55738; 55836; 56395; 56406; 61035; 61036; 61677; 61787,Expo/Millennium Line,24800,17100,19000,14000,15000,11200,11800,16790,9380,12960,7150,9990,0,0,0,0,0,0,13000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.847856,49.189525,84,e5bbcc49-5f40-420f-8fe2-8fbe383c4999,-13675352.3577,6307050.8802
Templeton,Station,Richmond,Southeast,2009,N10,52115; 52226,Canada Line,0,0,0,0,0,0,2770,2870,3150,3280,3090,3370,0,0,0,0,0,0,0,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.14657,49.19667,85,97a78130-f0f8-425d-befc-42da723d5ab5,-13708603.055,6308310.1725
Tsawwassen Ferry Terminal,Exchange,Delta,Southwest,,620,56669; 61767,None,870,770,1200,1100,1400,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.130235,49.007172,86,c7578fb3-52a3-4c9d-8167-b79f151c7366,-13706795.0957,6276078.463
UBC,Exchange,UBC/UEL,Vancouver/UBC,1945,004; 009; 014; 025; 033; 044; 049; 068; 084; 099; N17; R4,58895; 60158; 60159; 60160; 60162; 60163; 60164; 60358; 61701; 61702; 61935,None,20700,18500,9700,9000,7300,7100,0,0,0,0,0,0,0,0,0,0,0,0,6400,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.247907,49.267244,87,7254fe0e-d9c0-4b8c-bd50-1ff6034fdbf5,-13719894.224,6320329.3395
VCC-Clark,Station,Vancouver,Vancouver/UBC,2006,084,59767; 59803,Expo/Millennium Line,1600,1500,580,580,330,290,2140,1900,1080,970,720,660,0,0,0,0,0,0,14000,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.078798,49.265767,88,df95327c-c460-412a-8d97-38ccd34bc0b0,-13701084.713,6320077.4325
Vancouver City Centre,Station,Vancouver,Vancouver/UBC,2009,004; 007; 010; 014; 015/050; 016; 240; 241; 246/249; 247; 250; 253; 254; 257; N15; N19; N20; N22; N24; N35; N8,50976; 54445; 58504; 60980,Canada Line; Expo/Millennium Line,6700,5700,6100,4600,4600,3700,11720,12220,10590,10980,8630,8640,0,0,0,0,0,0,38000,112000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.118192,49.282419,89,03b9b327-ec30-4002-ab60-3629bccd5596,-13705460.9985,6322907.4808
Waterfront,Station,Vancouver,Vancouver/UBC,1985,003; 004; 007; 008; 010; 015/050; 044; N8; R5,50035; 50040; 58202,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,2600,1200,2100,1400,1700,1200,25200,24140,19880,19390,15980,15320,6700,7000,7800,8300,5600,5600,20000,95000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.113122,49.286603,90,99c0dbae-9ab6-4ab1-932a-5b2306ada734,-13704774.079,6323529.6582
White Rock Centre,Exchange,Surrey,Southeast,1975,321; 345; 350; 351; 352; 354; 360; 361; 362; 363; 375; 531,55383; 55488; 56030; 56081; 56136; 56280; 56388; 61629,None,2000,1800,1800,1500,1500,1300,0,0,0,0,0,0,0,0,0,0,0,0,14200,6400,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.801288,49.031979,91,d4d3625b-71fc-435d-bb73-49f721ae1d3c,-13670176.8911,6280289.3535
YVR-Airport,Station,Richmond,Southeast,2009,,,Canada Line,0,0,0,0,0,0,6150,5760,5770,5320,6140,5280,0,0,0,0,0,0,0,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.178474,49.194308,92,5c8b1274-ec9a-471c-9df3-6cdc03a1e22b,-13712337.4376,6307826.1938
Yaletown-Roundhouse,Station,Vancouver,Vancouver/UBC,2009,005/006; 023,50016; 50023; 50085; 61215,Canada Line,2000,1500,1600,1000,1400,820,7360,7220,6990,7040,5410,5220,0,0,0,0,0,0,42000,61000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.122014,49.274577,93,8f0d7a80-2f78-4875-9077-2c0e6ab861e8,-13705873.9355,6321549.8679
22nd Street,Station,New Westminster,Burnaby/New Westminster,1985,100; 101; 104; 128; 155; 340; 388; 410; 418,52183; 52230; 52373; 53497; 55933; 56919; 58173; 58322,Expo/Millennium Line,12000,11100,6600,6600,5500,5330,10920,10800,7170,6750,5620,5440,0,0,0,0,0,0,4000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.948947,49.200056,94,b895b892-2f23-4ab1-8ae5-9484a8a3d9f3,-13686624.7979,6308859.2001
29th Avenue,Station,Vancouver,Vancouver/UBC,1985,016; 026; 029; 033,51056; 51603; 51818; 60208; 61616,Expo/Millennium Line,4200,3800,3200,2800,2500,2434,7580,7590,6180,6080,4860,5000,0,0,0,0,0,0,13000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-123.045944,49.244203,95,b7109ee4-b2c5-4eed-9042-5cf1d7d68de3,-13697354.4837,6316393.9768
Aberdeen,Station,Richmond,Southwest,2009,403; 410; N10,56564; 58198,Canada Line,1500,1400,1000,1000,830,819,4420,4720,4920,5150,3930,4070,0,0,0,0,0,0,1000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.136286,49.184448,96,ccd81f2e-e283-44ab-8bb2-70d7e2514a99,-13707464.2568,6306163.0845
Blanca,Loop,UBC/UEL,Vancouver/UBC,1930,004; 014,50273; 50600,None,30,30,20,40,20,27,0,0,0,0,0,0,0,0,0,0,0,0,4800,920,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.215644,49.265128,97,09c058a8-c7d5-4aec-bd74-1cefa17f1845,-13716302.7146,6319968.453
Boundary,Loop,Vancouver,Vancouver/UBC,1953,009; 099; N9,50901; 52092,None,660,530,300,290,240,211,0,0,0,0,0,0,0,0,0,0,0,0,3200,5500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.025191,49.265474,98,32579e69-a321-4f20-9c11-084f6f28025c,-13695101.5991,6320027.4657
Braid,Station,New Westminster,Burnaby/New Westminster,2002,128; 153; 155; 156; 159; 169; 791,58079; 58082; 58083; 58084; 58085; 58086,Expo/Millennium Line,3800,3400,1900,1700,1400,1276,4260,4260,2700,2650,1960,1910,0,0,0,0,0,0,3000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.882803,49.233244,99,ad6949e8-c288-4a47-a20a-6aa0a8a0fe6d,-13679256.4812,6314466.4974
Brentwood Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,025; 123; 130; 134; 136; N9,51389; 58496; 60329; 61802; 61804; 61805,Expo/Millennium Line,4600,4100,2500,2100,1700,1493,5970,6160,3160,3210,2220,2340,0,0,0,0,0,0,14000,6000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.001664,49.266384,100,787737a8-307a-4149-bd07-5042391c115e,-13692539.1021,6320169.359
Bridgeport,Station,Richmond,Southwest,2009,311; 351; 352; 354; 403; 407; 412; 430; 480; 601; 602; 603; 604; 620; N10,61321; 61323; 61324; 61325; 61326; 61327; 61328; 61329; 61330; 61331; 61693,Canada Line,11000,10500,6000,5500,5300,5080,11890,11930,9280,9600,7740,7830,0,0,0,0,0,0,1000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-123.125904,49.195535,101,bf3790e7-6d96-4c65-a064-cca28a0ed089,-13706457.1997,6308036.543
Broadway-City Hall,Station,Vancouver,Vancouver/UBC,2009,009; 015/050; 017; 099; N15; N9,50482; 50875; 50922; 52100; 58269; 58501; 61027,Canada Line,14400,13700,10000,9500,7900,6809,14950,15280,10110,10210,7800,8370,0,0,0,0,0,0,17000,24000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.114815,49.262731,102,d234f8dd-1d77-4926-8d4c-a53d17aa0d93,-13704938.6989,6319650.7297
Burquitlam,Station,Coquitlam,Northeast Sector,2016,143; 151; 156; 157; 180; N9,53122; 53209; 59554; 59557; 59561,Expo/Millennium Line,2100,3100,450,620,450,532,4560,4610,3070,3080,2300,2410,0,0,0,0,0,0,10000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.889868,49.261426,103,d3d23418-8509-4686-bd63-2e5c9d9bdf33,-13679973.4776,6319316.9609
Burrard,Station,Vancouver,Vancouver/UBC,1985,002; 005/006; 019; 022; 032; 044; 095; 209; 210; 211; 214; N22; N24,50031; 50043; 50076; 50405; 50530; 51842; 51843; 56558; 58099,Expo/Millennium Line,11700,9900,6200,5600,4900,4687,25150,26050,12960,13710,10460,10480,0,0,0,0,0,0,26000,93000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.119346,49.285628,104,c4b98c2e-56e0-4e71-b5bc-2beafece7b29,-13705694.727,6323497.025
Capilano University,Exchange,North Vancouver District,North Shore,2009,028; 130; 239; 255,54423; 61068; 61069; 61070; 61071; 61239,None,2200,2500,380,360,170,201,0,0,0,0,0,0,0,0,0,0,0,0,3500,280,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.018632,49.319256,105,76e863fd-4fc8-4128-b873-3838c11b6455,-13694371.4244,6329207.1449
Carvolth,Exchange,Langley Township,Southeast,2012,388; 501; 509; 555; 562; 595,61709; 61710; 61711; 61712; 61714; 61715; 61716; 61717; 61719; 61720,None,3600,3400,1500,1500,1000,965,0,0,0,0,0,0,0,0,0,0,0,0,3600,2600,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2019,-122.659479,49.160287,106,aafbd972-6b42-4636-b392-ffdf06d5fcf2,-13654390.7002,6302102.5992
Caulfeild,Exchange,West Vancouver,North Shore,,253; 262,54704; 60887,None,250,140,70,80,50,44,0,0,0,0,0,0,0,0,0,0,0,0,2900,470,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.252445,49.350696,107,13ceb41d-f489-467c-977b-bb4cc7f5f988,-13720399.4349,6334577.9673
Cloverdale,Exchange,Surrey,Southeast,,320; 342,55982; 59590; 59795,None,250,290,140,170,110,136,0,0,0,0,0,0,0,0,0,0,0,0,4500,4700,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.733575,49.107789,108,1e9e706c-cd3d-4d5b-bbbc-0df650112e8b,-13662639.1066,6293170.7172
Columbia,Station,New Westminster,Burnaby/New Westminster,1989,103; 105; 109; 321; N19,52317; 52331; 52431,Expo/Millennium Line,230,520,220,340,160,257,5160,4220,3610,3170,2630,2300,0,0,0,0,0,0,12000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.906383,49.204672,109,b7435e62-e35f-404d-b016-335d303f248b,-13681876.0183,6309667.5447
Commercial-Broadway,Station,Vancouver,Vancouver/UBC,1985,009; 020; 099; N20; N9,50913; 50963; 52094; 52102; 58327; 58402; 58491; 58620; 58621,Expo/Millennium Line,22600,20100,14600,12700,10500,9131,25150,26060,18250,18640,13940,14500,0,0,0,0,0,0,15000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2019,-123.068793,49.262418,110,b430c80a-9459-4291-b49c-eab21c8c44ab,-13699912.9603,6319529.9196
Coquitlam Central,Station,Coquitlam,Northeast Sector,1991,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9,53021; 53035; 53161; 53170; 53299; 53357; 53495; 53730; 53864; 53866; 53887; 57570,Expo/Millennium Line; West Coast Express,6200,6200,4200,4100,3200,3046,4780,5100,3570,3780,2570,2770,0,0,0,0,0,0,4000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.800292,49.274416,111,88ec5384-c2b8-4a37-9b0e-5f4306f36862,-13670026.413,6321683.8025
Deep Cove,Exchange,North Vancouver District,North Shore,,211; 212,54053; 59518,None,240,210,370,310,350,317,0,0,0,0,0,0,0,0,0,0,0,0,2900,280,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.950708,49.326254,112,dc22292a-1edb-4bc3-8653-1d8dff1da1b3,-13686810.2367,6330402.2022
Dunbar,Exchange,Vancouver,Vancouver/UBC,1950,002; 007; 032; 041; 049; N22,50298; 50640; 50737,None,1200,1100,970,920,750,706,0,0,0,0,0,0,0,0,0,0,0,0,5200,790,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-123.185596,49.234709,113,0ed23e9d-5158-44d5-882a-13c3f2e207a6,-13712957.8324,6314780.832
Edgemont Village,Exchange,North Vancouver District,North Shore,,232; 246/249,54307,None,50,140,30,80,30,47,0,0,0,0,0,0,0,0,0,0,0,0,4300,910,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.103668,49.338772,114,62308841-f6a9-43a9-8a7d-f54801310cef,-13703837.5915,6332540.5889
Edmonds,Station,Burnaby,Burnaby/New Westminster,1985,101; 106; 112; 116; 119; 129/133; 147; 148,52453; 52605; 52667; 52771; 52992; 59868,Expo/Millennium Line,8700,8300,5200,4900,4000,3711,12580,12050,8220,7590,6370,6000,0,0,0,0,0,0,15000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.959192,49.212064,115,65606c09-053b-48a5-a60f-2f814485eb40,-13687697.5864,6310924.1898
Gateway,Station,Surrey,Southeast,1994,335; 371; 373,55789; 55807; 58124,Expo/Millennium Line,1300,2000,770,1000,570,739,6000,5210,4160,3660,3270,2940,0,0,0,0,0,0,11000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.850601,49.198916,116,d72d93d0-611e-49ff-801f-faf2c7f28d15,-13675685.2785,6308689.0148
Gilmore,Station,Burnaby,Burnaby/New Westminster,2002,028; 129/133; N9,58344; 58345; 58346,Expo/Millennium Line,1600,1300,750,550,490,447,4190,4130,2000,1860,1430,1310,0,0,0,0,0,0,7000,10000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-123.013507,49.264956,117,cf58d49d-8362-406d-87e4-18f2ca164e0c,-13693842.4382,6319900.9919
Granville,Station,Vancouver,Vancouver/UBC,1985,004; 007; 010; 014; 015/050; 016; 017; 020; N10; N15; N17; N19; N20; N24; N35; N8; N9,60993; 61519,Canada Line; Expo/Millennium Line,860,2400,910,1600,740,1414,20320,23200,15430,17800,11980,13270,0,0,0,0,0,0,26000,100000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.115675,49.28317,118,b91b3176-19de-4684-a45d-b7621cc2c79f,-13705151.1388,6323013.2471
Guildford,Exchange,Surrey,Southeast,1975,096; 320; 326; 335; 337; 341; 373; 375; 501; 509,55128; 55131; 55760; 58175; 59237; 61597,None,5600,5400,4900,4500,3900,3544,0,0,0,0,0,0,0,0,0,0,0,0,15100,7400,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.802726,49.191498,119,f2bbb254-2fdf-4aad-b9f5-fd2dc7e3b9f0,-13670336.9127,6307417.3146
Haney Place,Exchange,Maple Ridge,Maple Ridge/Pitt Meadows,2008,701; 733; 741; 743; 744; 745/746; 748; 749; 791,61057; 61058; 61059; 61060; 61061; 61062; 61063; 61064,None,1600,1600,930,1000,740,829,0,0,0,0,0,0,0,0,0,0,0,0,8700,5700,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2019,-122.597069,49.219462,120,0b4e40eb-3b8a-4f56-b43c-13e3b45d49b4,-13647443.2673,6312181.8445
Holdom,Station,Burnaby,Burnaby/New Westminster,2002,129/133; 136; N9,53302; 53309; 58342; 58343,Expo/Millennium Line,1800,1800,1000,1000,800,744,3300,3030,2280,2000,1670,1530,0,0,0,0,0,0,7000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-122.982137,49.264729,121,7f20223f-139d-4bf2-b537-7b694b62820b,-13690325.6264,6319912.2734
Horseshoe Bay,Exchange,West Vancouver,North Shore,1961,250; 257; 262,54556,None,1700,1600,1700,1700,2000,1571,0,0,0,0,0,0,0,0,0,0,0,0,1400,350,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2019,-123.272695,49.374277,122,92212a0a-34de-4638-b209-3b7c63eb5ecf,-13722653.6152,6338608.5923
Inlet Centre,Station,Port Moody,Northeast Sector,2016,160; 179; 183; 184/185; N9,53267; 59569; 61988,Expo/Millennium Line,240,350,110,180,70,107,2210,2160,1530,1420,1010,970,0,0,0,0,0,0,12000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2019,-122.828179,49.277299,123,78ed5d08-ad46-4edf-824d-230170cdc35d,-13673091.9921,6322080.0795
Joyce-Collingwood,Station,Vancouver,Vancouver/UBC,1985,026; 027; 028; 041; 043,51722; 51787; 58249; 60285; 61609,Expo/Millennium Line,8700,7300,4600,4800,3500,4054,15330,15580,12410,12110,10490,10550,0,0,0,0,0,0,20000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2019,-123.031806,49.238405,124,1a0cb75f-d6df-47a2-880e-11ede126ba06,-13695822.9158,6315393.2179
King Edward,Station,Vancouver,Vancouver/UBC,2009,015/050; 025; 033; N15,50419; 50475; 51513; 51574,Canada Line,4500,4600,3000,3300,2400,2425,7210,7140,5610,5370,4430,4620,0,0,0,0,0,0,7000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2019,-123.115027,49.248556,125,4f452c23-69fb-4042-81a3-84a72713c74e,-13705142.0656,6317221.7219
