Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
191,COQUITLAM CENTRAL STN/PRINCETON,Northeast Sector,Std. Bus,Standard,44000,16000,7.2,23 km/h,136,260378,834,509,405,0,84%,1071518,10043,,Coquitlam Central; Lafarge Lake-Douglas,Expo/Millennium Line; West Coast Express,20946.7330356542,2024,690,20946.7330356498,726b3e32-5f2e-49ab-8fe3-39c46c837762
209,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Special,102000,185000,14.3,24 km/h,151,135736,374,410,330,0,84%,843487,7885,Spring 2024: Adjusted stopping pattern to permit boarding/alighting on all downtown stops,Burrard; Lynn Valley; NightBus District; Phibbs,Expo/Millennium Line,38955.6848234106,2024,691,38955.6848234555,e63d22ea-a1ed-47b4-8332-14b565c57954
210,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,101000,182000,9.6,22 km/h,92,852302,2732,1646,1331,1,81%,3275118,30677,Spring 2024: Adjusted stopping pattern to permit boarding/alighting on all downtown stops,Burrard; Lynn Valley; NightBus District; Phibbs,Expo/Millennium Line,41754.4233845021,2024,692,41754.4233845538,4d8c781c-820a-4b3e-88ee-0ba5cd917861
211,SEYMOUR/PHIBBS EXCH/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,102000,185000,12.9,26 km/h,100,669559,2063,1403,1276,1,76%,2802958,27273,Spring 2024: Adjusted stopping pattern to permit boarding/alighting on all downtown stops,Burrard; Capilano University; Deep Cove; NightBus District; Phibbs,Expo/Millennium Line,55281.1480444891,2024,693,55281.1480444696,9e515627-2c90-481a-8e13-dfba40d8934f
212,DEEP COVE/PHIBBS EXCH,North Shore,Std. Bus,Basic,18000,12000,8.8,29 km/h,137,255750,778,551,513,0,89%,1175693,11214,,,,16700.3053977132,2024,694,16700.3053976874,6f8305b0-7265-4e94-b430-57f5244337df
215,INDIAN RIVER/PHIBBS EXCH,North Shore,Mini-Bus,Peak Frequent,19000,12000,6.8,27 km/h,143,203851,675,353,267,1,91%,967479,10956,,,,15283.1066657294,2024,695,15283.1066657173,a8502ccd-f056-41af-bd44-d6e43d160843
222,METROTOWN STATION/PHIBBS EXCHANGE,North Shore,Std. Bus,Peak Only - Limited,75000,53000,11.8,23 km/h,81,946139,3793,0,1650,10,81%,1821274,17586,New route to Phibbs Exchange/Metrotown Stn starting Apr 2020,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,30368.4960176616,2024,696,30368.4960176862,0d01785f-cfc4-48f5-a5c6-18789b5bb4e8
227,LYNN VALLEY/PHIBBS EXCHANGE,North Shore,Mini-Bus,Standard,21000,9000,7.4,24 km/h,150,138524,353,456,415,0,92%,741934,9297,,,,12699.0264131917,2024,697,12699.0264132455,d78a2b65-534a-49ab-b77e-9f966e4af768
228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent,46000,20000,5.8,20 km/h,111,567917,1737,1307,1039,1,83%,2147431,20100,,,,17683.3391423592,2024,698,17683.3391423717,ccf0d636-b44d-4baf-98d3-b256bcab8df6
229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard,56000,29000,6.3,16 km/h,87,894467,2664,2269,1741,2,84%,2210112,20650,,,,11428.2244620204,2024,699,11428.2244620674,7f2f34ee-97b6-4579-82c0-d09820f10383
