SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2022,10,SAT,Summer,9,420.8333331,501.4999998,4.416666667,57.23949638,45.44960009
2022,10,SAT,Summer,15,211.6666666,251.6666666,4,64.77578528,57.12864395
2022,10,SAT,Summer,18,178.5,208.8333332,3.833333333,54.19955388,42.06356681
2022,10,SAT,Summer,21,122.3333332,141.6666665,2.833333333,50.28972842,36.18888296
2022,10,SAT,Summer,24,39.3333333,46.3333333,2,33.0198,21.64631332
2022,10,SUN,Fall,4,29.7,36.9,1.5,23.63386187,12.99862403
2022,10,SUN,Fall,6,239.1,283.8,4.166666667,38.06194076,20.22357786
2022,10,SUN,Fall,9,657.3,801.9,4,58.91502794,44.82042577
2022,10,SUN,Fall,15,350.1,426,4,70.45763905,57.10004498
2022,10,SUN,Fall,18,298.5,349.8,3.833333333,49.51689255,35.70239716
2022,10,SUN,Fall,21,208.8,253.8,3,30.13335885,19.4192757
2022,10,SUN,Fall,24,63.6,80.1,2,13.47429657,7.934863534
2022,10,SUN,Summer,4,19.8,24.6,1.5,22.57064802,12.41385641
2022,10,SUN,Summer,6,159.4,189.2,4.166666667,35.05880588,18.62791219
2022,10,SUN,Summer,9,438.2,534.6,4,55.02073256,41.85778647
2022,10,SUN,Summer,15,233.4,284,4,60.16294638,48.75705446
2022,10,SUN,Summer,18,199,233.2,3.833333333,50.58786025,36.4745804
2022,10,SUN,Summer,21,137.2,169.2,3,37.69249732,23.94171589
2022,10,SUN,Summer,24,41.6,53.4,2,16.80805088,9.711318288
2022,14,MF,Fall,4,726,1135.2,3.75,24.63339113,16.55911293
2022,14,MF,Fall,6,2008.8,2433.6,4.5,45.96933892,47.50165022
2022,14,MF,Fall,9,4548,5455.2,4.333333333,50.99538946,61.94632245
2022,14,MF,Fall,15,3108,3837.6,5.666666667,60.18902548,76.41645883
2022,14,MF,Fall,18,1459.2,2251.2,4,60.23983793,50.86919647
2022,14,MF,Fall,21,825.5972222,1096.547222,3.143518519,43.16027768,26.18148814
2022,14,MF,Fall,24,613.4666666,998.0666665,2.509259259,17.98659048,10.16038094
2022,14,MF,Summer,4,484,756.8,3.75,22.84280743,15.35544277
2022,14,MF,Summer,6,1339.2,1622.4,4.5,39.15623909,40.46144706
2022,14,MF,Summer,9,3032,3636.8,4.333333333,43.06076657,52.30779017
2022,14,MF,Summer,15,2072,2558.4,5.666666667,50.79323244,64.48748629
2022,14,MF,Summer,18,972.8,1500.8,4,49.22495306,41.56773814
2022,14,MF,Summer,21,551.075,732.625,3.145833333,34.13058566,20.69143288
2022,14,MF,Summer,24,410,667.4,2.513888889,13.65202508,7.709821324
2022,14,SAT,Fall,4,114.75,157.25,3,15.03871884,9.587183261
2022,14,SAT,Fall,6,331,405.25,4.155555556,36.1599056,31.91714334
2022,14,SAT,Fall,9,1277,1534.75,5.733333333,52.81932523,65.16935104
2022,14,SAT,Fall,15,680.75,822.25,5.666666667,62.09936899,82.89048125
2022,14,SAT,Fall,18,309,460,3.822222222,63.22384197,56.62657151
2022,14,SAT,Fall,21,190.25,256.5,3.155555556,58.52761818,39.06975214
2022,14,SAT,Fall,24,86.25,138.5,2.155555556,43.50325456,25.01437137
2022,14,SAT,Summer,4,76.4999999,104.8333333,3,12.55254883,8.002249868
2022,14,SAT,Summer,6,220.6666665,270.1666666,4.166666667,30.67472199,27.07555459
2022,14,SAT,Summer,9,851.3333333,1023.166666,5.75,41.4873491,51.18777276
2022,14,SAT,Summer,15,453.8333332,548.1666666,5.666666667,47.51733549,63.42632574
2022,14,SAT,Summer,18,203.9999998,309.4999999,3.833333333,51.91540115,46.04670358
2022,14,SAT,Summer,21,126.8333333,168.1666666,3.166666667,45.24142339,30.20063437
2022,14,SAT,Summer,24,57.4999999,92.3333333,2.166666667,23.81517863,13.69372769
2022,14,SUN,Fall,4,93.6,126.9,2.25,17.2419242,9.962000649
2022,14,SUN,Fall,6,352.8,454.5,3.833333333,34.04139735,29.00919079
2022,14,SUN,Fall,9,1113.6,1382.4,4.666666667,52.26613616,57.74163614
2022,14,SUN,Fall,15,625.8,752.1,5,56.79411263,65.81806608
2022,14,SUN,Fall,18,297.6,444.9,3.666666667,56.33851554,42.33924804
2022,14,SUN,Fall,21,174.6,237.6,2.833333333,41.04322904,23.41878363
2022,14,SUN,Fall,24,104.4,174,1.833333333,15.51933654,8.182922904
2022,14,SUN,Summer,4,62.4,84.6,2.25,15.30664601,8.843839916
2022,14,SUN,Summer,6,235.2,303,3.833333333,28.94049956,24.66233875
2022,14,SUN,Summer,9,742.4,921.6,4.666666667,44.02219651,48.63404567
